round,local_only_mae,federated_mae,centralized_mae
1,18.47,15.48,14.85
2,17.89,14.01,13.15
3,17.11,12.65,11.58
4,16.49,11.5,10.49
5,16.08,10.4,9.44
6,15.5,9.42,8.46
7,14.96,8.84,7.82
8,14.63,8.23,7.12
9,14.19,7.51,6.68
10,13.67,7.07,6.19
11,13.21,6.64,5.8
12,12.89,6.24,5.54
13,12.65,5.99,5.31
14,12.29,5.84,5.01
15,11.78,5.47,4.88
16,11.66,5.38,4.65
17,11.39,5.18,4.61
18,11.12,5.02,4.53
19,10.82,4.95,4.38
20,10.67,4.84,4.23
21,10.22,4.7,4.18
22,10.07,4.53,4.16
23,9.89,4.56,4.04
24,9.86,4.41,4.13
25,9.7,4.49,4.04
