phc_id,medicine_id,week,actual,yhat,yhat_lo,yhat_hi
PHC_BORIGUMMA,ORS_ZINC,W-08,398,,,
PHC_BORIGUMMA,ORS_ZINC,W-07,386,,,
PHC_BORIGUMMA,ORS_ZINC,W-06,484,,,
PHC_BORIGUMMA,ORS_ZINC,W-05,437,,,
PHC_BORIGUMMA,ORS_ZINC,W-04,398,,,
PHC_BORIGUMMA,ORS_ZINC,W-03,402,,,
PHC_BORIGUMMA,ORS_ZINC,W-02,418,,,
PHC_BORIGUMMA,ORS_ZINC,W-01,486,,,
PHC_BORIGUMMA,ORS_ZINC,W+01,,456,390,522
PHC_BORIGUMMA,ORS_ZINC,W+02,,471,391,551
PHC_BORIGUMMA,ORS_ZINC,W+03,,487,393,581
PHC_BORIGUMMA,ORS_ZINC,W+04,,502,392,612
PHC_BORIGUMMA,ORS_ZINC,W+05,,518,392,644
PHC_BORIGUMMA,ORS_ZINC,W+06,,533,390,676
PHC_BORIGUMMA,ARTESUNATE,W-08,245,,,
PHC_BORIGUMMA,ARTESUNATE,W-07,226,,,
PHC_BORIGUMMA,ARTESUNATE,W-06,208,,,
PHC_BORIGUMMA,ARTESUNATE,W-05,234,,,
PHC_BORIGUMMA,ARTESUNATE,W-04,277,,,
PHC_BORIGUMMA,ARTESUNATE,W-03,253,,,
PHC_BORIGUMMA,ARTESUNATE,W-02,286,,,
PHC_BORIGUMMA,ARTESUNATE,W-01,283,,,
PHC_BORIGUMMA,ARTESUNATE,W+01,,252,216,288
PHC_BORIGUMMA,ARTESUNATE,W+02,,261,217,305
PHC_BORIGUMMA,ARTESUNATE,W+03,,269,217,321
PHC_BORIGUMMA,ARTESUNATE,W+04,,278,217,339
PHC_BORIGUMMA,ARTESUNATE,W+05,,286,216,356
PHC_BORIGUMMA,ARTESUNATE,W+06,,295,216,374
PHC_BORIGUMMA,AMOXICILLIN,W-08,275,,,
PHC_BORIGUMMA,AMOXICILLIN,W-07,345,,,
PHC_BORIGUMMA,AMOXICILLIN,W-06,348,,,
PHC_BORIGUMMA,AMOXICILLIN,W-05,342,,,
PHC_BORIGUMMA,AMOXICILLIN,W-04,325,,,
PHC_BORIGUMMA,AMOXICILLIN,W-03,365,,,
PHC_BORIGUMMA,AMOXICILLIN,W-02,325,,,
PHC_BORIGUMMA,AMOXICILLIN,W-01,361,,,
PHC_BORIGUMMA,AMOXICILLIN,W+01,,355,304,406
PHC_BORIGUMMA,AMOXICILLIN,W+02,,367,305,429
