phc_id,medicine_id,current_stock,safety_stock,avg_daily_demand,lead_time_days
PHC_BORIGUMMA,ORS_ZINC,2921,390,67,7
PHC_BORIGUMMA,ARTESUNATE,1272,234,37,10
PHC_BORIGUMMA,AMOXICILLIN,1892,325,52,8
PHC_BORIGUMMA,OXYTOCIN,635,104,18,5
PHC_BORIGUMMA,RABIES_VACCINE,555,78,15,12
PHC_BORIGUMMA,PARACETAMOL,3637,520,90,5
PHC_BORIGUMMA,SNAKE_ANTIVENOM,460,58,12,14
PHC_KOTPAD,ORS_ZINC,1190,300,45,7
PHC_KOTPAD,ARTESUNATE,698,180,25,10
PHC_KOTPAD,AMOXICILLIN,854,250,35,8
PHC_KOTPAD,OXYTOCIN,304,80,12,5
PHC_KOTPAD,RABIES_VACCINE,245,60,10,12
PHC_KOTPAD,PARACETAMOL,1459,400,60,5
PHC_KOTPAD,SNAKE_ANTIVENOM,169,45,8,14
PHC_LAMTAPUT,ORS_ZINC,389,270,36,7
PHC_LAMTAPUT,ARTESUNATE,169,162,20,10
PHC_LAMTAPUT,AMOXICILLIN,240,225,28,8
PHC_LAMTAPUT,OXYTOCIN,81,72,9,5
PHC_LAMTAPUT,RABIES_VACCINE,63,54,8,12
PHC_LAMTAPUT,PARACETAMOL,407,360,48,5
PHC_LAMTAPUT,SNAKE_ANTIVENOM,34,40,6,14
PHC_BISSAM_CUTTACK,ORS_ZINC,2975,390,67,7
PHC_BISSAM_CUTTACK,ARTESUNATE,1426,234,37,10
PHC_BISSAM_CUTTACK,AMOXICILLIN,1813,325,52,8
PHC_BISSAM_CUTTACK,OXYTOCIN,802,104,18,5
PHC_BISSAM_CUTTACK,RABIES_VACCINE,488,78,15,12
PHC_BISSAM_CUTTACK,PARACETAMOL,2983,520,90,5
PHC_BISSAM_CUTTACK,SNAKE_ANTIVENOM,354,58,12,14
PHC_MUNIGUDA,ORS_ZINC,1500,300,45,7
PHC_MUNIGUDA,ARTESUNATE,737,180,25,10
PHC_MUNIGUDA,AMOXICILLIN,1086,250,35,8
PHC_MUNIGUDA,OXYTOCIN,355,80,12,5
PHC_MUNIGUDA,RABIES_VACCINE,247,60,10,12
PHC_MUNIGUDA,PARACETAMOL,1942,400,60,5
PHC_MUNIGUDA,SNAKE_ANTIVENOM,179,45,8,14
PHC_KALYANSINGHPUR,ORS_ZINC,375,270,36,7
PHC_KALYANSINGHPUR,ARTESUNATE,188,162,20,10
PHC_KALYANSINGHPUR,AMOXICILLIN,284,225,28,8
PHC_KALYANSINGHPUR,OXYTOCIN,90,72,9,5
PHC_KALYANSINGHPUR,RABIES_VACCINE,58,54,8,12
PHC_KALYANSINGHPUR,PARACETAMOL,549,360,48,5
PHC_KALYANSINGHPUR,SNAKE_ANTIVENOM,25,40,6,14
PHC_BHAWANIPATNA,ORS_ZINC,2547,390,67,7
PHC_BHAWANIPATNA,ARTESUNATE,1401,234,37,10
PHC_BHAWANIPATNA,AMOXICILLIN,1763,325,52,8
PHC_BHAWANIPATNA,OXYTOCIN,637,104,18,5
PHC_BHAWANIPATNA,RABIES_VACCINE,448,78,15,12
PHC_BHAWANIPATNA,PARACETAMOL,3191,520,90,5
PHC_BHAWANIPATNA,SNAKE_ANTIVENOM,426,58,12,14
PHC_DHARAMGARH,ORS_ZINC,2671,390,67,7
PHC_DHARAMGARH,ARTESUNATE,1441,234,37,10
PHC_DHARAMGARH,AMOXICILLIN,1849,325,52,8
PHC_DHARAMGARH,OXYTOCIN,645,104,18,5
PHC_DHARAMGARH,RABIES_VACCINE,589,78,15,12
PHC_DHARAMGARH,PARACETAMOL,3605,520,90,5
PHC_DHARAMGARH,SNAKE_ANTIVENOM,423,58,12,14
PHC_THUAMUL_RAMPUR,ORS_ZINC,319,270,36,7
PHC_THUAMUL_RAMPUR,ARTESUNATE,181,162,20,10
PHC_THUAMUL_RAMPUR,AMOXICILLIN,234,225,28,8
PHC_THUAMUL_RAMPUR,OXYTOCIN,74,72,9,5
PHC_THUAMUL_RAMPUR,RABIES_VACCINE,68,54,8,12
PHC_THUAMUL_RAMPUR,PARACETAMOL,535,360,48,5
PHC_THUAMUL_RAMPUR,SNAKE_ANTIVENOM,31,40,6,14
PHC_UMERKOTE,ORS_ZINC,2962,390,67,7
PHC_UMERKOTE,ARTESUNATE,1672,234,37,10
PHC_UMERKOTE,AMOXICILLIN,2226,325,52,8
PHC_UMERKOTE,OXYTOCIN,637,104,18,5
PHC_UMERKOTE,RABIES_VACCINE,437,78,15,12
PHC_UMERKOTE,PARACETAMOL,3233,520,90,5
PHC_UMERKOTE,SNAKE_ANTIVENOM,377,58,12,14
PHC_PAPADAHANDI,ORS_ZINC,1241,300,45,7
PHC_PAPADAHANDI,ARTESUNATE,810,180,25,10
PHC_PAPADAHANDI,AMOXICILLIN,1106,250,35,8
PHC_PAPADAHANDI,OXYTOCIN,314,80,12,5
PHC_PAPADAHANDI,RABIES_VACCINE,256,60,10,12
PHC_PAPADAHANDI,PARACETAMOL,1647,400,60,5
PHC_PAPADAHANDI,SNAKE_ANTIVENOM,209,45,8,14
PHC_JHARIGAON,ORS_ZINC,361,270,36,7
PHC_JHARIGAON,ARTESUNATE,150,162,20,10
PHC_JHARIGAON,AMOXICILLIN,243,225,28,8
PHC_JHARIGAON,OXYTOCIN,80,72,9,5
PHC_JHARIGAON,RABIES_VACCINE,51,54,8,12
PHC_JHARIGAON,PARACETAMOL,524,360,48,5
PHC_JHARIGAON,SNAKE_ANTIVENOM,35,40,6,14
