phc_id,medicine_id,feature,importance
PHC_BORIGUMMA,ORS_ZINC,Inventory Run-Rate Coverage,0.389
PHC_BORIGUMMA,ORS_ZINC,Emergency Surge Multiplier,0.258
PHC_BORIGUMMA,ORS_ZINC,Supplier Resupply Lead-Time,0.143
PHC_BORIGUMMA,ORS_ZINC,Monsoon Road Inundation Index,0.113
PHC_BORIGUMMA,ORS_ZINC,Weekly Outpatient Footfall Velocity,0.097
PHC_BORIGUMMA,ARTESUNATE,Inventory Run-Rate Coverage,0.374
PHC_BORIGUMMA,ARTESUNATE,Emergency Surge Multiplier,0.267
PHC_BORIGUMMA,ARTESUNATE,Supplier Resupply Lead-Time,0.138
PHC_BORIGUMMA,ARTESUNATE,Monsoon Road Inundation Index,0.119
PHC_BORIGUMMA,ARTESUNATE,Weekly Outpatient Footfall Velocity,0.102
PHC_BORIGUMMA,AMOXICILLIN,Inventory Run-Rate Coverage,0.369
PHC_BORIGUMMA,AMOXICILLIN,Emergency Surge Multiplier,0.266
PHC_BORIGUMMA,AMOXICILLIN,Supplier Resupply Lead-Time,0.135
PHC_BORIGUMMA,AMOXICILLIN,Monsoon Road Inundation Index,0.145
PHC_BORIGUMMA,AMOXICILLIN,Weekly Outpatient Footfall Velocity,0.085
PHC_BORIGUMMA,OXYTOCIN,Inventory Run-Rate Coverage,0.386
PHC_BORIGUMMA,OXYTOCIN,Emergency Surge Multiplier,0.253
PHC_BORIGUMMA,OXYTOCIN,Supplier Resupply Lead-Time,0.172
PHC_BORIGUMMA,OXYTOCIN,Monsoon Road Inundation Index,0.13
PHC_BORIGUMMA,OXYTOCIN,Weekly Outpatient Footfall Velocity,0.059
PHC_BORIGUMMA,RABIES_VACCINE,Inventory Run-Rate Coverage,0.391
PHC_BORIGUMMA,RABIES_VACCINE,Emergency Surge Multiplier,0.271
PHC_BORIGUMMA,RABIES_VACCINE,Supplier Resupply Lead-Time,0.15
PHC_BORIGUMMA,RABIES_VACCINE,Monsoon Road Inundation Index,0.093
PHC_BORIGUMMA,RABIES_VACCINE,Weekly Outpatient Footfall Velocity,0.095
PHC_BORIGUMMA,PARACETAMOL,Inventory Run-Rate Coverage,0.373
PHC_BORIGUMMA,PARACETAMOL,Emergency Surge Multiplier,0.268
PHC_BORIGUMMA,PARACETAMOL,Supplier Resupply Lead-Time,0.157
PHC_BORIGUMMA,PARACETAMOL,Monsoon Road Inundation Index,0.104
