from_phc,to_phc,distance_km,route_capacity
PHC_BORIGUMMA,PHC_KOTPAD,40.9,1600
PHC_BORIGUMMA,PHC_LAMTAPUT,47.6,1600
PHC_BORIGUMMA,PHC_KALYANSINGHPUR,121.4,1600
PHC_BORIGUMMA,PHC_DHARAMGARH,135.6,1600
PHC_BORIGUMMA,PHC_THUAMUL_RAMPUR,108.7,1600
PHC_BORIGUMMA,PHC_UMERKOTE,114.0,1600
PHC_BORIGUMMA,PHC_PAPADAHANDI,61.5,1600
PHC_BORIGUMMA,PHC_JHARIGAON,127.6,1600
PHC_KOTPAD,PHC_BORIGUMMA,40.9,1600
PHC_KOTPAD,PHC_LAMTAPUT,85.7,900
PHC_KOTPAD,PHC_KALYANSINGHPUR,142.6,900
PHC_KOTPAD,PHC_DHARAMGARH,123.4,1600
PHC_KOTPAD,PHC_THUAMUL_RAMPUR,112.9,900
PHC_KOTPAD,PHC_UMERKOTE,79.4,1600
PHC_KOTPAD,PHC_PAPADAHANDI,51.6,900
PHC_KOTPAD,PHC_JHARIGAON,100.2,900
PHC_LAMTAPUT,PHC_BORIGUMMA,47.6,1600
PHC_LAMTAPUT,PHC_KOTPAD,85.7,900
PHC_LAMTAPUT,PHC_KALYANSINGHPUR,134.8,900
PHC_LAMTAPUT,PHC_THUAMUL_RAMPUR,140.9,900
PHC_LAMTAPUT,PHC_PAPADAHANDI,106.1,900
PHC_BISSAM_CUTTACK,PHC_MUNIGUDA,16.8,1600
PHC_BISSAM_CUTTACK,PHC_KALYANSINGHPUR,35.5,1600
PHC_BISSAM_CUTTACK,PHC_BHAWANIPATNA,75.4,1600
PHC_BISSAM_CUTTACK,PHC_DHARAMGARH,114.4,1600
PHC_BISSAM_CUTTACK,PHC_THUAMUL_RAMPUR,72.5,1600
PHC_BISSAM_CUTTACK,PHC_PAPADAHANDI,129.0,1600
PHC_MUNIGUDA,PHC_BISSAM_CUTTACK,16.8,1600
PHC_MUNIGUDA,PHC_KALYANSINGHPUR,46.2,900
PHC_MUNIGUDA,PHC_BHAWANIPATNA,60.8,1600
PHC_MUNIGUDA,PHC_DHARAMGARH,104.2,1600
PHC_MUNIGUDA,PHC_THUAMUL_RAMPUR,68.1,900
PHC_MUNIGUDA,PHC_PAPADAHANDI,128.4,900
PHC_KALYANSINGHPUR,PHC_BORIGUMMA,121.4,1600
PHC_KALYANSINGHPUR,PHC_KOTPAD,142.6,900
PHC_KALYANSINGHPUR,PHC_LAMTAPUT,134.8,900
PHC_KALYANSINGHPUR,PHC_BISSAM_CUTTACK,35.5,1600
PHC_KALYANSINGHPUR,PHC_MUNIGUDA,46.2,900
PHC_KALYANSINGHPUR,PHC_BHAWANIPATNA,85.1,1600
PHC_KALYANSINGHPUR,PHC_DHARAMGARH,107.8,1600
PHC_KALYANSINGHPUR,PHC_THUAMUL_RAMPUR,57.2,900
PHC_KALYANSINGHPUR,PHC_PAPADAHANDI,101.9,900
PHC_BHAWANIPATNA,PHC_BISSAM_CUTTACK,75.4,1600
PHC_BHAWANIPATNA,PHC_MUNIGUDA,60.8,1600
PHC_BHAWANIPATNA,PHC_KALYANSINGHPUR,85.1,1600
PHC_BHAWANIPATNA,PHC_DHARAMGARH,53.6,1600
PHC_BHAWANIPATNA,PHC_THUAMUL_RAMPUR,53.5,1600
PHC_BHAWANIPATNA,PHC_UMERKOTE,136.5,1600
PHC_BHAWANIPATNA,PHC_PAPADAHANDI,109.8,1600
PHC_BHAWANIPATNA,PHC_JHARIGAON,107.7,1600
PHC_DHARAMGARH,PHC_BORIGUMMA,135.6,1600
PHC_DHARAMGARH,PHC_KOTPAD,123.4,1600
PHC_DHARAMGARH,PHC_BISSAM_CUTTACK,114.4,1600
PHC_DHARAMGARH,PHC_MUNIGUDA,104.2,1600
PHC_DHARAMGARH,PHC_KALYANSINGHPUR,107.8,1600
PHC_DHARAMGARH,PHC_BHAWANIPATNA,53.6,1600
PHC_DHARAMGARH,PHC_THUAMUL_RAMPUR,52.1,1600
PHC_DHARAMGARH,PHC_UMERKOTE,83.8,1600
PHC_DHARAMGARH,PHC_PAPADAHANDI,75.2,1600
PHC_DHARAMGARH,PHC_JHARIGAON,54.1,1600
PHC_THUAMUL_RAMPUR,PHC_BORIGUMMA,108.7,1600
PHC_THUAMUL_RAMPUR,PHC_KOTPAD,112.9,900
PHC_THUAMUL_RAMPUR,PHC_LAMTAPUT,140.9,900
PHC_THUAMUL_RAMPUR,PHC_BISSAM_CUTTACK,72.5,1600
PHC_THUAMUL_RAMPUR,PHC_MUNIGUDA,68.1,900
PHC_THUAMUL_RAMPUR,PHC_KALYANSINGHPUR,57.2,900
PHC_THUAMUL_RAMPUR,PHC_BHAWANIPATNA,53.5,1600
PHC_THUAMUL_RAMPUR,PHC_DHARAMGARH,52.1,1600
PHC_THUAMUL_RAMPUR,PHC_UMERKOTE,110.1,1600
PHC_THUAMUL_RAMPUR,PHC_PAPADAHANDI,62.4,900
PHC_THUAMUL_RAMPUR,PHC_JHARIGAON,91.4,900
PHC_UMERKOTE,PHC_BORIGUMMA,114.0,1600
PHC_UMERKOTE,PHC_KOTPAD,79.4,1600
PHC_UMERKOTE,PHC_BHAWANIPATNA,136.5,1600
PHC_UMERKOTE,PHC_DHARAMGARH,83.8,1600
PHC_UMERKOTE,PHC_THUAMUL_RAMPUR,110.1,1600
PHC_UMERKOTE,PHC_PAPADAHANDI,68.3,1600
PHC_UMERKOTE,PHC_JHARIGAON,33.4,1600
PHC_PAPADAHANDI,PHC_BORIGUMMA,61.5,1600
PHC_PAPADAHANDI,PHC_KOTPAD,51.6,900
PHC_PAPADAHANDI,PHC_LAMTAPUT,106.1,900
PHC_PAPADAHANDI,PHC_BISSAM_CUTTACK,129.0,1600
PHC_PAPADAHANDI,PHC_MUNIGUDA,128.4,900
PHC_PAPADAHANDI,PHC_KALYANSINGHPUR,101.9,900
PHC_PAPADAHANDI,PHC_BHAWANIPATNA,109.8,1600
PHC_PAPADAHANDI,PHC_DHARAMGARH,75.2,1600
PHC_PAPADAHANDI,PHC_THUAMUL_RAMPUR,62.4,900
PHC_PAPADAHANDI,PHC_UMERKOTE,68.3,1600
PHC_PAPADAHANDI,PHC_JHARIGAON,70.4,900
PHC_JHARIGAON,PHC_BORIGUMMA,127.6,1600
PHC_JHARIGAON,PHC_KOTPAD,100.2,900
PHC_JHARIGAON,PHC_BHAWANIPATNA,107.7,1600
PHC_JHARIGAON,PHC_DHARAMGARH,54.1,1600
PHC_JHARIGAON,PHC_THUAMUL_RAMPUR,91.4,900
PHC_JHARIGAON,PHC_UMERKOTE,33.4,1600
PHC_JHARIGAON,PHC_PAPADAHANDI,70.4,900
